client_id,cluster,t_star
C_001,2,8
C_002,1,7
C_003,2,8
C_004,1,12
C_005,1,6
C_006,3,12
C_007,1,6
C_008,1,8
C_009,1,9
C_010,1,9
C_011,1,7
C_012,2,8
C_013,1,7
C_014,3,11
C_015,2,9
C_016,2,7
C_017,3,5
C_018,2,8
C_019,1,4
C_020,1,5
C_021,1,5
C_022,1,8
C_023,1,8
C_024,1,11
C_025,1,8
C_026,1,8
C_027,1,7
C_028,1,12
C_029,3,4
C_030,1,11
C_031,1,8
C_032,1,8
C_033,2,12
C_034,1,5
C_035,2,7
C_036,2,8
C_037,3,4
C_038,1,6
C_039,1,8
C_040,1,8
C_041,1,5
C_042,2,11
C_043,2,8
C_044,2,8
C_045,3,8
C_046,2,10
C_047,1,5
C_048,1,6
C_049,3,8
C_050,2,9
C_051,2,12
C_052,2,11
C_053,3,5
C_054,2,11
C_055,1,11
C_056,1,7
C_057,1,8
C_058,1,5
C_059,3,4
C_060,1,8
C_061,2,8
C_062,1,8
C_063,3,5
C_064,2,6
C_065,1,8
C_066,2,6
C_067,2,8
C_068,2,12
C_069,3,12
C_070,3,5
C_071,2,8
C_073,2,8
C_074,1,12
C_075,3,4
C_076,2,8
C_077,3,8
C_078,1,8
C_079,3,8
C_080,2,11
C_081,2,9
C_082,1,7
C_083,1,4
C_084,1,10
C_085,1,5
C_086,3,4
C_087,1,12
C_088,2,7
C_089,1,7
C_090,1,5
C_091,2,12
C_092,1,10
C_094,1,8
C_095,1,6
C_096,1,5
C_097,3,8
C_098,1,8
C_099,1,5
C_100,1,8
C_101,3,4
C_102,3,4
C_103,1,7
C_104,1,7
C_105,1,4
C_106,3,3
C_107,2,8
C_108,1,8
C_109,1,4
C_110,1,5
C_111,2,8
C_112,2,11
C_113,1,12
C_114,1,5
C_115,2,9
C_116,1,6
C_118,1,10
C_119,1,8
C_120,1,11
client_0001,1,5
client_0002,1,8
client_0003,1,5
